epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.000100	4317.414376	48.299172	19.268238	
2.000000	0.000100	793.282694	40.091827	16.354391	
3.000000	0.000100	507.624658	33.278650	15.228606	
4.000000	0.000100	387.313812	30.452350	14.043909	
5.000000	0.000100	309.072454	32.767226	12.610971	
6.000000	0.000100	257.727068	33.018471	12.106310	
7.000000	0.000100	224.671014	29.908362	11.032332	
8.000000	0.000100	196.498299	24.735106	10.728606	
9.000000	0.000100	179.996975	24.229252	10.155947	
10.000000	0.000100	161.077793	22.748348	9.769017	
11.000000	0.000100	149.601212	24.942652	9.543152	
12.000000	0.000100	136.310067	21.712936	9.554174	
13.000000	0.000100	126.520453	20.364573	9.268574	
14.000000	0.000100	123.196419	21.090370	9.215507	
15.000000	0.000100	116.616128	20.161430	9.039662	
16.000000	0.000100	110.989624	25.664252	8.564704	
17.000000	0.000100	105.169618	18.790566	8.429081	
18.000000	0.000100	101.812793	22.919273	8.421960	
19.000000	0.000100	96.685436	25.729965	8.563696	
20.000000	0.000100	94.544496	18.451485	8.388198	
21.000000	0.000100	91.273836	19.128660	8.595510	
22.000000	0.000090	86.405833	18.092054	8.200510	
23.000000	0.000090	80.140189	23.870981	8.330579	
24.000000	0.000090	81.507848	20.251512	7.977290	
25.000000	0.000090	80.025033	20.182676	7.913722	
26.000000	0.000090	74.794214	20.541191	7.980729	
27.000000	0.000090	71.424709	20.176134	7.948339	
28.000000	0.000090	72.880744	19.102603	8.334440	
29.000000	0.000090	70.563882	18.116587	7.753877	
30.000000	0.000090	67.956393	20.208846	7.829953	
31.000000	0.000090	66.215524	17.526380	7.742431	
32.000000	0.000090	64.547675	17.372993	7.760998	
33.000000	0.000090	63.449368	24.584775	7.784736	
34.000000	0.000090	62.097652	19.881478	7.715664	
35.000000	0.000090	62.746635	21.192456	7.753789	
36.000000	0.000090	60.399962	15.956381	7.500179	
37.000000	0.000090	58.435619	21.075425	7.529734	
38.000000	0.000090	58.039929	20.579589	7.394956	
39.000000	0.000090	58.704104	18.079382	7.398801	
40.000000	0.000090	54.826923	17.393555	7.372368	
41.000000	0.000090	57.007591	17.008355	7.455661	
42.000000	0.000090	53.771158	18.295776	7.385511	
43.000000	0.000081	52.234473	17.244012	7.372371	
44.000000	0.000081	48.848227	17.607713	7.485187	
45.000000	0.000081	50.133158	16.348245	7.026400	
46.000000	0.000081	47.458041	18.286520	7.217920	
47.000000	0.000081	48.092572	17.007442	7.200918	
48.000000	0.000081	47.398795	17.452819	7.132854	
49.000000	0.000081	46.938560	21.519326	7.316185	
50.000000	0.000081	45.156641	19.236449	7.079668	
51.000000	0.000081	44.466348	19.359685	7.174259	
52.000000	0.000081	44.153453	16.956169	7.047105	
53.000000	0.000081	42.638977	18.397888	7.011844	
54.000000	0.000081	43.928321	17.654221	7.161169	
55.000000	0.000081	43.284719	18.184471	7.090330	
56.000000	0.000081	42.983655	18.222110	7.177861	
57.000000	0.000081	41.879324	17.470947	7.162871	
58.000000	0.000081	41.151769	18.516926	7.144920	
59.000000	0.000081	40.029649	16.767043	7.000892	
60.000000	0.000081	40.705347	20.601786	6.888453	
61.000000	0.000081	40.971840	18.339642	6.829604	
62.000000	0.000081	39.662324	20.866601	6.967767	
63.000000	0.000081	39.464879	18.759688	6.817252	
64.000000	0.000081	38.453978	17.347781	6.906310	
65.000000	0.000073	37.277617	18.184698	6.743467	
66.000000	0.000073	36.878479	17.859526	6.820107	
67.000000	0.000073	36.770776	17.753766	6.879670	
68.000000	0.000073	35.520032	16.531156	6.705555	
69.000000	0.000073	36.796857	16.690159	6.738002	
70.000000	0.000073	34.894960	18.523006	6.766554	
71.000000	0.000073	35.084265	17.162973	6.961461	
72.000000	0.000073	34.794856	16.492662	6.695604	
73.000000	0.000073	34.354666	17.268754	6.764926	
