epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.000100	4181.315782	49.139636	19.690917	
2.000000	0.000100	772.346270	42.030799	16.205692	
3.000000	0.000100	506.603097	32.153921	14.653090	
4.000000	0.000100	391.102694	31.645115	13.977931	
5.000000	0.000100	321.986312	30.511285	11.987544	
6.000000	0.000100	268.845519	27.774280	11.235833	
7.000000	0.000100	243.038160	28.451524	11.052852	
8.000000	0.000100	215.328883	26.288971	10.388619	
9.000000	0.000100	195.455225	29.106253	10.204916	
10.000000	0.000100	176.331041	25.275573	9.688620	
11.000000	0.000100	162.885355	22.939087	9.128403	
12.000000	0.000100	152.869325	22.989044	9.076819	
13.000000	0.000100	142.172818	21.775999	8.928606	
14.000000	0.000100	135.151209	25.234310	8.749113	
15.000000	0.000100	128.012891	28.550158	8.753472	
16.000000	0.000100	119.753744	22.896027	8.528029	
17.000000	0.000100	117.067083	22.343877	8.185422	
18.000000	0.000100	114.156072	20.329010	8.253818	
19.000000	0.000100	106.179987	20.639524	7.986749	
20.000000	0.000100	103.864423	19.631464	8.132133	
21.000000	0.000100	99.021524	19.541611	8.082656	
22.000000	0.000090	92.902879	18.294130	7.979657	
23.000000	0.000090	89.521877	22.198991	7.751442	
24.000000	0.000090	86.689477	21.249793	8.064165	
25.000000	0.000090	83.171248	20.961809	7.761377	
26.000000	0.000090	83.271604	18.834771	7.701279	
27.000000	0.000090	79.569409	18.202444	7.700141	
28.000000	0.000090	79.286384	18.691262	7.502596	
29.000000	0.000090	77.156623	19.117291	7.575405	
30.000000	0.000090	75.532554	20.453420	7.705625	
31.000000	0.000090	73.840318	16.338971	7.614914	
32.000000	0.000090	70.151884	19.005885	7.796890	
33.000000	0.000090	71.000470	17.666761	7.339479	
34.000000	0.000090	68.105782	18.049175	7.500405	
35.000000	0.000090	66.739270	18.390490	7.368994	
36.000000	0.000090	65.544009	19.207012	7.717973	
37.000000	0.000090	63.636049	17.733174	7.461972	
38.000000	0.000090	62.915627	16.965031	7.466459	
39.000000	0.000090	62.757014	21.992316	7.486416	
40.000000	0.000090	61.037317	16.976856	7.330989	
41.000000	0.000090	59.721952	18.964475	7.395998	
42.000000	0.000090	59.192549	17.999490	7.373144	
43.000000	0.000081	57.729416	18.146080	7.278495	
44.000000	0.000081	55.683912	17.207064	7.287955	
45.000000	0.000081	56.708718	17.897687	7.114540	
46.000000	0.000081	54.210101	18.672576	7.181242	
47.000000	0.000081	54.796128	18.298599	7.207769	
48.000000	0.000081	52.168491	19.998224	7.166983	
49.000000	0.000081	51.393546	19.217198	7.379871	
50.000000	0.000081	51.264868	18.011728	7.073279	
51.000000	0.000081	50.936004	18.897843	7.129581	
52.000000	0.000081	51.386715	17.111427	7.111831	
53.000000	0.000081	48.993836	17.642617	6.945866	
54.000000	0.000081	49.696737	17.957992	6.902076	
55.000000	0.000081	48.052824	17.175587	6.946349	
56.000000	0.000081	47.921699	17.682065	7.031149	
57.000000	0.000081	50.275297	17.020278	7.067306	
58.000000	0.000081	46.935070	19.258408	6.954968	
59.000000	0.000081	47.854459	17.784196	6.929732	
60.000000	0.000081	45.764586	20.722948	7.123713	
61.000000	0.000081	46.236511	17.449752	6.960901	
62.000000	0.000081	44.068320	19.614087	6.996837	
63.000000	0.000081	43.935153	18.823739	6.921474	
64.000000	0.000081	44.502752	17.243561	6.918092	
65.000000	0.000073	42.999904	17.653697	6.946657	
66.000000	0.000073	42.603610	21.816959	6.809094	
67.000000	0.000073	42.014466	18.632322	6.844572	
68.000000	0.000073	40.961288	18.228475	6.764910	
69.000000	0.000073	40.953878	16.389604	6.860690	
70.000000	0.000073	40.438439	17.801690	6.865502	
71.000000	0.000073	39.640585	17.798029	6.788715	
72.000000	0.000073	40.253586	17.037831	6.774282	
73.000000	0.000073	40.284901	17.261951	6.873992	
74.000000	0.000073	39.150264	21.709321	6.860333	
75.000000	0.000073	39.741686	19.765875	6.780967	
76.000000	0.000073	39.093460	19.091988	6.730737	
77.000000	0.000073	39.204646	19.620335	6.744575	
78.000000	0.000073	39.122338	16.733855	6.714506	
79.000000	0.000073	39.121550	16.914879	6.782124	
80.000000	0.000073	37.092995	17.539916	6.760551	
81.000000	0.000073	37.414737	16.589386	6.632034	
